date,weekday,winning_numbers,powerball,powerplay,jackpot
5/7/2014,Wed,17-29-31-48-49,34,2,70000000
5/10/2014,Sat,4-31-41-47-55,1,2,90000000
5/14/2014,Wed,7-33-39-52-55,33,3,90000000
5/17/2014,Sat,23-32-39-47-49,22,3,114000000
5/21/2014,Wed,4-20-34-39-58,31,5,114000000
5/24/2014,Sat,15-16-28-49-55,18,2,132000000
5/28/2014,Wed,2-24-28-32-59,25,3,152000000
5/31/2014,Sat,15-27-31-34-48,1,2,192000000
6/4/2014,Wed,1-7-10-22-49,24,3,192000000
6/7/2014,Sat,28-30-35-58-59,15,2,227400000
6/11/2014,Wed,14-18-25-33-49,23,5,259800000
6/14/2014,Sat,9-33-42-45-54,30,3,40000000
6/18/2014,Wed,6-9-29-52-59,7,3,50000000
6/21/2014,Sat,5-6-37-41-54,26,3,60000000
6/25/2014,Wed,10-20-25-50-53,35,4,70000000
6/28/2014,Sat,8-12-34-43-56,9,2,80000000
7/2/2014,Wed,8-18-45-53-58,35,2,90000000
7/5/2014,Sat,24-34-36-57-58,11,4,122000000
7/9/2014,Wed,9-25-42-55-57,14,2,122000000
7/12/2014,Sat,2-3-7-23-51,26,2,40000000
7/16/2014,Wed,5-15-18-26-32,35,3,50000000
7/19/2014,Sat,10-17-25-45-53,9,2,60000000
7/23/2014,Wed,4-10-12-22-31,3,5,40000000
7/26/2014,Sat,24-28-30-38-39,16,2,60000000
7/30/2014,Wed,13-30-42-49-53,29,3,60000000
8/2/2014,Sat,12-26-44-46-47,29,2,70000000
8/6/2014,Wed,1-8-24-28-49,24,5,80000000
8/9/2014,Sat,3-12-31-34-51,24,2,90000000
8/13/2014,Wed,8-37-39-40-52,24,2,40000000
8/16/2014,Sat,7-8-17-48-59,9,2,50000000
8/20/2014,Wed,4-8-21-38-40,3,2,60000000
8/23/2014,Sat,28-32-35-36-52,31,3,70000000
8/27/2014,Wed,17-24-26-45-46,19,3,90000000
8/30/2014,Sat,5-28-31-52-59,27,2,90000000
9/3/2014,Wed,2-16-43-45-51,35,3,100000000
9/6/2014,Sat,9-29-31-43-50,18,2,110000000
9/10/2014,Wed,2-14-39-40-43,13,5,127000000
9/13/2014,Sat,1-6-16-37-53,27,3,149000000
9/17/2014,Wed,18-25-36-48-50,23,2,171000000
9/20/2014,Sat,22-23-30-37-39,16,4,225000000
9/24/2014,Wed,7-14-21-24-41,26,4,225000000
9/27/2014,Sat,2-11-35-52-54,13,3,40000000
10/1/2014,Wed,1-4-18-20-45,7,2,50000000
10/4/2014,Sat,13-18-24-25-33,31,2,60000000
10/8/2014,Wed,5-16-31-46-50,18,3,80000000
10/11/2014,Sat,10-19-37-38-39,28,2,80000000
10/15/2014,Wed,5-7-19-27-28,20,2,90000000
10/18/2014,Sat,20-26-27-36-54,19,2,100000000
10/22/2014,Wed,29-30-40-42-50,16,2,110000000
10/25/2014,Sat,6-10-51-54-57,12,2,142000000
10/29/2014,Wed,25-28-48-57-59,16,3,142000000
11/1/2014,Sat,1-3-13-25-38,17,2,159000000
11/5/2014,Wed,2-11-19-21-42,34,3,203000000
11/8/2014,Sat,9-19-33-38-54,15,3,203000000
11/12/2014,Wed,37-39-51-52-55,11,3,40000000
11/15/2014,Sat,13-16-33-35-51,28,2,50000000
11/19/2014,Wed,6-36-38-48-51,17,2,60000000
11/22/2014,Sat,23-49-53-54-57,35,2,70000000
11/26/2014,Wed,16-17-22-46-54,35,5,90000000
11/29/2014,Sat,13-24-30-42-48,27,2,40000000
12/3/2014,Wed,25-30-32-46-54,26,3,40000000
12/6/2014,Sat,12-15-22-43-49,14,2,50000000
12/10/2014,Wed,34-44-48-54-55,10,2,60000000
12/13/2014,Sat,5-13-28-43-55,33,3,70000000
12/17/2014,Wed,22-31-38-47-48,15,3,80000000
12/20/2014,Sat,14-15-19-31-56,5,5,100000000
12/24/2014,Wed,11-12-46-47-50,22,4,100000000
12/27/2014,Sat,7-10-11-14-36,15,2,110000000
12/31/2014,Wed,17-27-37-40-53,35,2,120000000
1/3/2015,Sat,4-18-43-46-55,25,3,131000000
1/7/2015,Wed,14-15-47-49-59,10,2,162000000
1/10/2015,Sat,2-9-19-28-29,19,5,162000000
1/14/2015,Wed,2-4-10-41-53,22,5,176000000
1/17/2015,Sat,15-16-23-27-36,9,2,194000000
1/21/2015,Wed,11-12-15-28-57,23,4,208000000
1/24/2015,Sat,16-19-20-29-33,10,2,230000000
1/28/2015,Wed,12-24-35-36-49,1,5,261000000
1/31/2015,Sat,5-11-16-26-50,34,2,289000000
2/4/2015,Wed,24-36-51-52-56,22,2,317000000
2/7/2015,Sat,5-10-21-34-58,33,5,450000000
2/11/2015,Wed,11-13-25-39-54,19,3,500000000
2/14/2015,Sat,1-24-44-45-51,28,2,40000000
2/18/2015,Wed,1-9-29-32-49,22,2,50000000
2/21/2015,Sat,10-14-18-34-51,26,2,70000000
2/25/2015,Wed,17-19-21-32-39,8,3,70000000
2/28/2015,Sat,11-17-25-28-46,12,2,80000000
3/4/2015,Wed,8-12-15-35-50,32,2,90000000
3/7/2015,Sat,34-36-38-42-50,33,4,100000000
3/11/2015,Wed,11-24-31-40-44,27,2,119000000
3/14/2015,Sat,8-14-39-46-47,18,2,137000000
3/18/2015,Wed,14-25-30-33-47,8,2,40000000
3/21/2015,Sat,11-16-30-38-42,7,4,50000000
3/25/2015,Wed,7-19-23-50-54,14,2,40000000
3/28/2015,Sat,2-4-6-12-38,17,3,40000000
4/1/2015,Wed,2-30-33-39-44,1,3,50000000
4/4/2015,Sat,33-39-40-41-54,28,3,60000000
4/8/2015,Wed,1-19-45-46-58,29,2,70000000
4/11/2015,Sat,1-12-32-42-58,12,2,80000000
4/15/2015,Wed,1-16-21-29-40,30,3,40000000
4/18/2015,Sat,13-22-23-29-31,17,3,50000000
4/22/2015,Wed,10-14-25-39-53,18,2,40000000
4/25/2015,Sat,21-33-35-38-45,12,2,50000000
4/29/2015,Wed,1-26-34-38-51,6,3,60000000
5/2/2015,Sat,2-6-11-30-31,33,3,70000000
5/6/2015,Wed,23-24-27-39-41,30,5,80000000
5/9/2015,Sat,4-15-17-35-58,17,3,90000000
5/13/2015,Wed,1-25-29-31-47,7,3,100000000
5/16/2015,Sat,24-29-38-48-52,32,2,110000000
5/20/2015,Wed,1-12-28-35-44,25,3,121000000
5/23/2015,Sat,9-15-17-31-43,16,4,138000000
5/27/2015,Wed,8-15-34-53-59,23,2,154000000
5/30/2015,Sat,8-9-25-56-57,22,2,171000000
6/3/2015,Wed,6-8-13-37-40,11,2,188000000
6/6/2015,Sat,8-13-18-27-43,15,4,40000000
6/10/2015,Wed,31-32-48-49-53,25,2,50000000
6/13/2015,Sat,29-41-48-52-54,29,2,60000000
6/17/2015,Wed,20-21-22-41-54,7,3,70000000
6/20/2015,Sat,9-10-16-20-57,15,2,80000000
6/24/2015,Wed,3-5-10-22-32,7,4,40000000
6/27/2015,Sat,18-28-35-46-49,27,5,50000000
7/1/2015,Wed,7-24-26-31-41,25,2,60000000
7/4/2015,Sat,3-6-14-18-24,21,3,70000000
7/8/2015,Wed,4-15-25-27-30,18,3,40000000
7/11/2015,Sat,11-39-46-52-54,3,2,50000000
7/15/2015,Wed,13-16-34-45-50,11,2,60000000
7/18/2015,Sat,6-37-39-45-55,33,3,50000000
7/22/2015,Wed,12-31-43-44-57,11,2,80000000
7/25/2015,Sat,27-29-34-41-44,2,3,90000000
7/29/2015,Wed,4-22-27-28-52,35,3,100000000
8/1/2015,Sat,7-13-24-49-57,15,3,110000000
8/5/2015,Wed,9-11-14-16-42,19,2,40000000
8/8/2015,Sat,9-34-48-52-54,15,4,50000000
8/12/2015,Wed,8-13-29-38-52,28,2,60000000
8/15/2015,Sat,3-13-17-42-52,24,4,70000000
8/19/2015,Wed,6-8-43-48-50,7,2,80000000
8/22/2015,Sat,4-12-14-21-55,7,4,90000000
8/26/2015,Wed,2-22-32-45-56,12,5,100000000
8/29/2015,Sat,18-21-25-28-29,16,2,110000000
9/2/2015,Wed,17-22-30-46-56,16,3,120000000
9/5/2015,Sat,10-16-18-29-45,19,2,133000000
9/9/2015,Wed,44-45-47-50-51,8,2,149000000
9/12/2015,Sat,2-3-13-16-35,27,3,167000000
9/16/2015,Wed,5-7-24-31-39,7,3,185000000
9/19/2015,Sat,12-17-26-43-48,24,2,211500000
9/23/2015,Wed,8-29-41-51-58,5,2,235000000
9/26/2015,Sat,23-31-42-50-57,5,3,267000000
9/30/2015,Wed,21-39-40-55-59,17,3,301000000
10/3/2015,Sat,6-26-33-44-46,4,2,40000000
10/7/2015,Wed,18-30-40-48-52,9,3,50000000
10/10/2015,Sat,12-27-29-43-68,1,2,60000000
10/14/2015,Wed,15-20-29-31-40,1,2,70000000
10/17/2015,Sat,48-49-57-62-69,19,3,80000000
10/21/2015,Wed,30-32-42-56-57,11,4,90000000
10/24/2015,Sat,20-31-56-60-64,2,3,100000000
10/28/2015,Wed,4-54-56-62-63,10,2,110000000
10/31/2015,Sat,9-20-25-47-68,7,2,127000000
11/4/2015,Wed,2-12-17-20-65,17,4,142000000
11/7/2015,Sat,7-16-25-50-53,15,2,40000000
11/11/2015,Wed,4-26-32-55-64,18,3,50000000
11/14/2015,Sat,14-22-37-45-66,5,3,60000000
11/18/2015,Wed,17-40-41-46-69,6,2,70000000
11/21/2015,Sat,37-47-50-52-57,21,3,80000000
11/25/2015,Wed,16-29-53-58-69,21,2,50000000
11/28/2015,Sat,2-6-47-66-67,2,3,100000000
12/2/2015,Wed,14-18-19-32-64,9,2,110000000
12/5/2015,Sat,13-27-33-47-68,13,2,127000000
12/9/2015,Wed,7-10-16-46-56,1,2,145000000
12/12/2015,Sat,2-14-19-30-62,22,2,164000000
12/16/2015,Wed,9-10-32-42-55,6,2,180000000
12/19/2015,Sat,28-30-41-59-68,10,2,204600000
12/23/2015,Wed,16-38-55-63-67,25,4,227000000
12/26/2015,Sat,27-40-44-59-65,20,2,261700000
12/30/2015,Wed,12-36-38-54-61,22,3,300000000
1/2/2016,Sat,5-6-15-29-42,10,2,355800000
1/6/2016,Wed,2-11-47-62-63,17,3,524100000
1/9/2016,Sat,16-19-32-34-57,13,3,949000000
1/13/2016,Wed,4-8-19-27-34,10,2,1500000000
1/16/2016,Sat,3-51-52-61-64,6,2,40000000
1/20/2016,Wed,5-39-44-47-69,24,5,50000000
1/23/2016,Sat,22-32-34-40-69,19,4,60000000
